ip;mac;nt_host;dns;owner;priority;country;city;Operatingsystem;InfraApp;category
10.10.254.67;00:50:56:9c:ef:da;splunk-lbhf;splunk-lbhf.eav.local;Pasquale Materazzo;Low;Italy;Napoli;Ubuntu 22.04.3 LTS;Applicativo;Splunk Log Management
10.10.254.73;00:50:56:9c:6a:fa;splunk-lbshc;splunk-lbshc.eav.local;Pasquale Materazzo;Low;Italy;Napoli;Ubuntu 22.04.3 LTS;Applicativo;Splunk Log Management
10.10.254.62;00:50:56:9c:93:0d;splunk-lm;splunk-lm.eav.local;Pasquale Materazzo;Low;Italy;Napoli;Ubuntu 22.04.3 LTS;Applicativo;Splunk Log Management
10.10.254.56;00:50:56:9c:1a:c3;splunk-ds;splunk-ds.eav.local;Pasquale Materazzo;Low;Italy;Napoli;Ubuntu 22.04.3 LTS;Applicativo;Splunk Log Management
10.10.254.66;00:50:56:9c:e2:dc;splunk-shd;splunk-shd.eav.local;Pasquale Materazzo;Low;Italy;Napoli;Ubuntu 22.04.3 LTS;Applicativo;Splunk Log Management
10.10.254.63;00:50:56:9c:b1:6e;splunk-sh1;splunk-sh1.eav.local;Pasquale Materazzo;Low;Italy;Napoli;Ubuntu 22.04.3 LTS;Applicativo;Splunk Log Management
10.10.254.64;00:50:56:9c:a1:cc;splunk-sh2;splunk-sh2.eav.local;Pasquale Materazzo;Low;Italy;Napoli;Ubuntu 22.04.3 LTS;Applicativo;Splunk Log Management
10.10.254.65;00:50:56:9c:1b:1d;splunk-sh3;splunk-sh3.eav.local;Pasquale Materazzo;Low;Italy;Napoli;Ubuntu 22.04.3 LTS;Applicativo;Splunk Log Management
10.10.254.60;00:50:56:9c:f4:60;splunk-indexer1;splunk-indexer1.eav.local;Pasquale Materazzo;Low;Italy;Napoli;Ubuntu 22.04.3 LTS;Applicativo;Splunk Log Management
10.10.254.61;00:50:56:9c:09:1b;splunk-indexer2;splunk-indexer2.eav.local;Pasquale Materazzo;Low;Italy;Napoli;Ubuntu 22.04.3 LTS;Applicativo;Splunk Log Management
10.10.254.57;00:50:56:9c:a8:d7;splunk-forwarder1;splunk-forwarder1.eav.local;Pasquale Materazzo;Low;Italy;Napoli;Ubuntu 22.04.3 LTS;Applicativo;Splunk Log Management
10.10.254.58;00:50:56:9c:57:2f;splunk-forwarder2;splunk-forwarder2.eav.local;Pasquale Materazzo;Low;Italy;Napoli;Ubuntu 22.04.3 LTS;Applicativo;Splunk Log Management
10.10.254.59;00:50:56:9c:b9:97;splunk-forwarder3;splunk-forwarder3.eav.local;Pasquale Materazzo;Low;Italy;Napoli;Ubuntu 22.04.3 LTS;Applicativo;Splunk Log Management
